@relation train2

@attribute average_word_length numeric
@attribute average_tweet_length numeric
@attribute errors_per_tweet numeric
@attribute unknown_word_per_tweet numeric
@attribute richness_of_vocabulary numeric
@attribute hash_tag_per_tweet numeric
@attribute different_hash_tags_per_tweet numeric
@attribute hash_tag_length numeric
@attribute reference_length numeric
@attribute reference_per_tweet numeric
@attribute different_references_per_tweet numeric
@attribute personal_words_per_tweet numeric
@attribute frequency_per_tweet numeric
@attribute frequency_per_word numeric
@attribute urls_per_tweet numeric
@attribute tweets_with_instagram numeric
@attribute tweets_with_urls numeric
@attribute instagram_per_tweet numeric
@attribute is_verified numeric
@attribute following_number numeric
@attribute follower_number numeric
@attribute favourite_number numeric
@attribute particle_ne_per_tweet numeric
@attribute noun_per_tweet numeric
@attribute verb_per_tweet numeric
@attribute personal_pronoun_per_tweet numeric
@attribute pronoun_per_tweet numeric
@attribute adjective_per_tweet numeric
@attribute adverb_per_tweet numeric
@attribute conjunction_preposition_particle_per_tweet numeric
@attribute adverb_adjective_per_tweet numeric
@attribute adverb_adverb_per_tweet numeric
@attribute tweets_with_noun numeric
@attribute tweets_with_verb numeric
@attribute tweets_with_personal_pronoun numeric
@attribute tweets_with_pronoun numeric
@attribute tweets_with_adjective numeric
@attribute tweets_with_adverb numeric
@attribute tweets_with_conjunction_preposition_particle numeric
@attribute tweets_with_adverb_adjective numeric
@attribute tweets_with_adverb_adverb numeric
@attribute average_signs_number numeric
@attribute sign_latitude numeric
@attribute signs_per_tweet numeric
@attribute tweets_with_signs numeric
@attribute stress_per_tweet numeric
@attribute tilde_per_tweet numeric
@attribute exclamation_point_per_tweet numeric
@attribute at_per_tweet numeric
@attribute hash_per_tweet numeric
@attribute dollar_sign_per_tweet numeric
@attribute percent_per_tweet numeric
@attribute exponent_per_tweet numeric
@attribute ampersand_per_tweet numeric
@attribute multiply_per_tweet numeric
@attribute opening_parenthesis_per_tweet numeric
@attribute closing_parenthesis_per_tweet numeric
@attribute minus_per_tweet numeric
@attribute underline_per_tweet numeric
@attribute plus_per_tweet numeric
@attribute equals_per_tweet numeric
@attribute opening_bracket_per_tweet numeric
@attribute opening_brace_per_tweet numeric
@attribute closing_bracket_per_tweet numeric
@attribute closing_brace_per_tweet numeric
@attribute backslash_per_tweet numeric
@attribute vertical_slash_per_tweet numeric
@attribute semicolon_per_tweet numeric
@attribute colon_per_tweet numeric
@attribute apostrophe_per_tweet numeric
@attribute quote_per_tweet numeric
@attribute comma_per_tweet numeric
@attribute less_than_per_tweet numeric
@attribute point_per_tweet numeric
@attribute great_than_per_tweet numeric
@attribute divide_per_tweet numeric
@attribute question_mark_per_tweet numeric
@attribute number_sign_per_tweet numeric
@attribute tweets_with_stress numeric
@attribute tweets_with_tilde numeric
@attribute tweets_with_exclamation_point numeric
@attribute tweets_with_at numeric
@attribute tweets_with_hash numeric
@attribute tweets_with_dollar_sign numeric
@attribute tweets_with_percent numeric
@attribute tweets_with_exponent numeric
@attribute tweets_with_ampersand numeric
@attribute tweets_with_multiply numeric
@attribute tweets_with_opening_parenthesis numeric
@attribute tweets_with_closing_parenthesis numeric
@attribute tweets_with_minus numeric
@attribute tweets_with_underline numeric
@attribute tweets_with_plus numeric
@attribute tweets_with_equals numeric
@attribute tweets_with_opening_bracket numeric
@attribute tweets_with_opening_brace numeric
@attribute tweets_with_closing_bracket numeric
@attribute tweets_with_closing_brace numeric
@attribute tweets_with_backslash numeric
@attribute tweets_with_vertical_slash numeric
@attribute tweets_with_semicolon numeric
@attribute tweets_with_colon numeric
@attribute tweets_with_apostrophe numeric
@attribute tweets_with_quote numeric
@attribute tweets_with_comma numeric
@attribute tweets_with_less_than numeric
@attribute tweets_with_point numeric
@attribute tweets_with_great_than numeric
@attribute tweets_with_divide numeric
@attribute tweets_with_question_mark numeric
@attribute tweets_with_number_sign numeric
@attribute different_smiles numeric
@attribute tweets_with_smiles numeric
@attribute happy_smiles_per_tweet numeric
@attribute sad_smiles_per_tweet numeric
@attribute winking_smiles_per_tweet numeric
@attribute glasses_smiles_per_tweet numeric
@attribute laugh_with_tears_smiles_per_tweet numeric
@attribute cry_smiles_per_tweet numeric
@attribute kiss_smiles_per_tweet numeric
@attribute surprised_smiles_per_tweet numeric
@attribute with_tongue_smiles_per_tweet numeric
@attribute laugh_smiles_per_tweet numeric
@attribute other_smiles_per_tweet numeric
@attribute tweets_with_happy_smiles numeric
@attribute tweets_with_sad_smiles numeric
@attribute tweets_with_winking_smiles numeric
@attribute tweets_with_glasses_smiles numeric
@attribute tweets_with_laugh_with_tears_smiles numeric
@attribute tweets_with_cry_smiles numeric
@attribute tweets_with_kiss_smiles numeric
@attribute tweets_with_surprised_smiles numeric
@attribute tweets_with_with_tongue_smiles numeric
@attribute tweets_with_laugh_smiles numeric
@attribute tweets_with_other_smiles numeric
@attribute class {0 1 2}

@data
5.901186, 9.730769, 1.692308, 2.500000, 5.903846, 0.134615, 0.096154, 1.076923, 3.615385, 0.384615, 0.288462, 0.038462, 125076.900899, 2641.773005, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 204.000000, 4972.000000, 0.000000, 0.500000, 3.000000, 0.288462, 0.019231, 0.173077, 0.153846, 0.153846, 0.000000, 0.000000, 0.000000, 0.903846, 0.269231, 0.019231, 0.115385, 0.153846, 0.134615, 0.000000, 0.000000, 0.000000, 2.000000, 0.181818, 160.711538, 0.903846, 0.000000, 0.000000, 10.673077, 24.807692, 8.673077, 0.000000, 0.000000, 0.000000, 1.192308, 0.000000, 6.250000, 6.807692, 12.903846, 7.153846, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 17.153846, 0.000000, 0.000000, 27.615385, 0.000000, 27.596154, 0.000000, 0.000000, 9.884615, 0.000000, 0.000000, 0.000000, 0.153846, 0.346154, 0.115385, 0.000000, 0.000000, 0.000000, 0.019231, 0.000000, 0.096154, 0.115385, 0.153846, 0.115385, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.230769, 0.000000, 0.000000, 0.250000, 0.000000, 0.269231, 0.000000, 0.000000, 0.134615, 0.000000, 0.090909, 0.019231, 0.557692, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.019231, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1
6.490025, 16.122807, 3.111111, 3.216374, 7.339181, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.064327, 409878.929588, 2547.774177, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 50.000000, 93071.000000, 1.000000, 0.257310, 3.994152, 0.269006, 0.040936, 0.105263, 0.789474, 0.093567, 0.000000, 0.000000, 0.000000, 0.988304, 0.233918, 0.040936, 0.081871, 0.514620, 0.093567, 0.000000, 0.000000, 0.000000, 2.538012, 0.181818, 306.350877, 1.000000, 0.000000, 0.000000, 1.590643, 0.000000, 1.906433, 0.941520, 0.000000, 0.000000, 0.000000, 0.000000, 2.766082, 2.766082, 26.929825, 0.000000, 1.742690, 1.456140, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.970760, 0.000000, 69.058480, 0.000000, 0.000000, 29.374269, 0.000000, 159.748538, 0.000000, 3.555556, 3.058480, 0.485380, 0.000000, 0.000000, 0.017544, 0.000000, 0.023392, 0.011696, 0.000000, 0.000000, 0.000000, 0.000000, 0.029240, 0.029240, 0.269006, 0.000000, 0.017544, 0.005848, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.005848, 0.000000, 0.812865, 0.000000, 0.000000, 0.257310, 0.000000, 0.994152, 0.000000, 0.023392, 0.035088, 0.005848, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1
5.866594, 10.695906, 2.269006, 3.122807, 5.771930, 0.005848, 0.005848, 0.058480, 4.678363, 0.421053, 0.181287, 0.286550, 322618.774435, 2329.716485, 0.000000, 0.005848, 0.000000, 0.005848, 0.000000, 370437.000000, 337581.000000, 0.000000, 0.321637, 2.812865, 0.520468, 0.169591, 0.198830, 0.304094, 0.087719, 0.000000, 0.000000, 0.000000, 0.789474, 0.391813, 0.122807, 0.152047, 0.233918, 0.081871, 0.000000, 0.000000, 0.000000, 1.766082, 0.151515, 174.654971, 0.842105, 0.000000, 0.000000, 6.403509, 27.842105, 7.105263, 0.497076, 1.216374, 0.000000, 0.000000, 0.000000, 0.883041, 28.251462, 14.713450, 9.842105, 1.105263, 0.543860, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.023392, 3.713450, 0.000000, 0.000000, 27.865497, 0.000000, 39.134503, 0.000000, 0.000000, 4.514620, 0.000000, 0.000000, 0.000000, 0.111111, 0.321637, 0.087719, 0.005848, 0.011696, 0.000000, 0.000000, 0.000000, 0.017544, 0.222222, 0.134503, 0.122807, 0.011696, 0.005848, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.011696, 0.070175, 0.000000, 0.000000, 0.274854, 0.000000, 0.257310, 0.000000, 0.000000, 0.099415, 0.000000, 0.363636, 0.046784, 1.222222, 0.304094, 1.023392, 0.000000, 1.023392, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.029240, 0.005848, 0.011696, 0.000000, 0.011696, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0
6.378718, 13.335196, 1.407821, 2.430168, 6.324022, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.279330, 454549.277140, 2666.337983, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 50.000000, 730417.000000, 1.000000, 0.335196, 4.178771, 0.541899, 0.005587, 0.033520, 0.569832, 0.011173, 0.000000, 0.005587, 0.000000, 0.994413, 0.441341, 0.005587, 0.033520, 0.413408, 0.011173, 0.000000, 0.005587, 0.000000, 0.642458, 0.090909, 52.681564, 0.480447, 0.000000, 0.000000, 0.396648, 0.000000, 10.486034, 0.000000, 0.374302, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 7.217877, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 17.156425, 0.000000, 0.000000, 12.474860, 0.000000, 4.575419, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.005587, 0.000000, 0.134078, 0.000000, 0.005587, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.089385, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.212291, 0.000000, 0.000000, 0.139665, 0.000000, 0.055866, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1
6.093329, 16.100529, 2.513228, 4.015873, 7.957672, 0.343915, 0.089947, 4.227513, 1.534392, 0.169312, 0.111111, 0.227513, 356687.558223, 1993.786303, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 298.000000, 49533.000000, 1.000000, 0.238095, 4.915344, 0.761905, 0.105820, 0.169312, 0.481481, 0.137566, 0.000000, 0.005291, 0.005291, 0.968254, 0.529101, 0.095238, 0.153439, 0.370370, 0.111111, 0.000000, 0.005291, 0.005291, 2.650794, 0.212121, 332.534392, 0.978836, 0.000000, 0.000000, 23.867725, 16.359788, 40.296296, 2.370370, 0.386243, 0.000000, 0.000000, 1.174603, 8.862434, 15.957672, 22.121693, 8.603175, 1.915344, 0.619048, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.433862, 34.555556, 0.000000, 0.000000, 51.105820, 0.000000, 90.222222, 0.000000, 1.798942, 11.883598, 0.000000, 0.000000, 0.000000, 0.259259, 0.116402, 0.375661, 0.021164, 0.005291, 0.000000, 0.000000, 0.010582, 0.079365, 0.132275, 0.195767, 0.068783, 0.015873, 0.005291, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.005291, 0.275132, 0.000000, 0.000000, 0.402116, 0.000000, 0.560847, 0.000000, 0.015873, 0.105820, 0.000000, 0.272727, 0.052910, 4.851852, 0.000000, 0.433862, 0.000000, 0.433862, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.047619, 0.000000, 0.005291, 0.000000, 0.005291, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1
5.132068, 14.369318, 1.482955, 3.732955, 7.545455, 0.000000, 0.000000, 0.000000, 8.193182, 0.823864, 0.215909, 0.585227, 494764.045028, 3133.121919, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 208.000000, 865.000000, 0.000000, 0.852273, 5.068182, 0.579545, 0.573864, 0.545455, 0.460227, 0.488636, 0.000000, 0.011364, 0.034091, 0.909091, 0.454545, 0.431818, 0.380682, 0.346591, 0.352273, 0.000000, 0.011364, 0.022727, 3.034091, 0.181818, 419.693182, 0.982955, 0.000000, 0.000000, 5.346591, 67.340909, 1.488636, 0.000000, 0.000000, 3.204545, 0.000000, 0.000000, 25.153409, 19.965909, 12.812500, 37.534091, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.159091, 0.000000, 21.386364, 0.607955, 0.000000, 172.812500, 1.460227, 36.147727, 1.460227, 0.000000, 11.812500, 0.000000, 0.000000, 0.000000, 0.068182, 0.670455, 0.005682, 0.000000, 0.000000, 0.022727, 0.000000, 0.000000, 0.232955, 0.193182, 0.107955, 0.289773, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.011364, 0.000000, 0.232955, 0.005682, 0.000000, 0.772727, 0.011364, 0.272727, 0.011364, 0.000000, 0.125000, 0.000000, 0.272727, 0.164773, 4.659091, 7.153409, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.164773, 0.073864, 0.085227, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.005682, 0
6.384289, 16.062827, 2.178010, 3.670157, 7.125654, 0.005236, 0.005236, 0.036649, 1.649215, 0.167539, 0.136126, 0.125654, 506429.792990, 2816.826298, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 2380.000000, 19680.000000, 0.000000, 0.350785, 5.602094, 0.738220, 0.078534, 0.188482, 0.565445, 0.162304, 0.000000, 0.005236, 0.010471, 0.989529, 0.534031, 0.078534, 0.172775, 0.418848, 0.146597, 0.000000, 0.005236, 0.010471, 2.366492, 0.181818, 305.267016, 0.989529, 0.000000, 0.000000, 23.225131, 14.612565, 0.528796, 0.000000, 1.193717, 0.000000, 0.492147, 0.000000, 1.345550, 3.204188, 31.214660, 5.837696, 0.617801, 0.000000, 0.000000, 0.000000, 0.528796, 0.000000, 0.000000, 0.000000, 0.000000, 18.172775, 0.000000, 12.848168, 84.701571, 0.000000, 91.623037, 0.403141, 2.361257, 11.743455, 0.612565, 0.000000, 0.000000, 0.225131, 0.157068, 0.005236, 0.000000, 0.010471, 0.000000, 0.005236, 0.000000, 0.010471, 0.031414, 0.246073, 0.047120, 0.005236, 0.000000, 0.000000, 0.000000, 0.005236, 0.000000, 0.000000, 0.000000, 0.000000, 0.167539, 0.000000, 0.057592, 0.528796, 0.000000, 0.717277, 0.005236, 0.015707, 0.120419, 0.005236, 0.181818, 0.026178, 1.858639, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.565445, 0.000000, 0.020942, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.010471, 0.000000, 1
6.001043, 16.428571, 1.960000, 3.880000, 7.274286, 0.131429, 0.040000, 1.011429, 0.942857, 0.097143, 0.080000, 0.177143, 483487.345230, 2895.537066, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 18.000000, 1401671.000000, 1.000000, 0.234286, 5.502857, 0.720000, 0.074286, 0.114286, 0.605714, 0.148571, 0.000000, 0.022857, 0.005714, 0.982857, 0.514286, 0.068571, 0.108571, 0.411429, 0.142857, 0.000000, 0.022857, 0.005714, 1.805714, 0.212121, 234.800000, 0.908571, 0.000000, 0.000000, 5.931429, 9.582857, 13.914286, 0.000000, 0.640000, 0.000000, 0.000000, 0.000000, 0.000000, 0.605714, 20.045714, 2.531429, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.662857, 13.502857, 0.000000, 0.000000, 64.845714, 0.000000, 94.811429, 1.325714, 2.268571, 3.554286, 0.577143, 0.000000, 0.000000, 0.068571, 0.080000, 0.148571, 0.000000, 0.005714, 0.000000, 0.000000, 0.000000, 0.000000, 0.005714, 0.177143, 0.022857, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.005714, 0.125714, 0.000000, 0.000000, 0.422857, 0.000000, 0.680000, 0.005714, 0.022857, 0.028571, 0.005714, 0.181818, 0.011429, 0.605714, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.514286, 0.000000, 0.005714, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.005714, 0.000000, 1
5.445104, 13.215686, 2.147059, 3.666667, 7.352941, 0.009804, 0.009804, 0.049020, 12.372549, 1.176471, 0.264706, 0.372549, 272517.450916, 2957.072341, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 218.000000, 349.000000, 0.000000, 0.696078, 4.147059, 0.568627, 0.509804, 0.509804, 0.294118, 0.382353, 0.000000, 0.000000, 0.000000, 0.950980, 0.431373, 0.343137, 0.421569, 0.205882, 0.323529, 0.000000, 0.000000, 0.000000, 3.392157, 0.242424, 439.617647, 0.980392, 0.000000, 0.000000, 5.950980, 98.813725, 1.294118, 0.000000, 0.500000, 0.000000, 0.000000, 0.000000, 0.696078, 12.647059, 30.303922, 40.274510, 0.637255, 6.245098, 1.284314, 0.000000, 1.284314, 0.000000, 0.000000, 0.000000, 0.000000, 14.647059, 1.549020, 17.529412, 134.607843, 0.000000, 44.911765, 3.803922, 3.686275, 18.950980, 0.000000, 0.000000, 0.000000, 0.058824, 0.882353, 0.019608, 0.000000, 0.009804, 0.000000, 0.000000, 0.000000, 0.009804, 0.147059, 0.254902, 0.372549, 0.009804, 0.058824, 0.009804, 0.000000, 0.009804, 0.000000, 0.000000, 0.000000, 0.000000, 0.166667, 0.019608, 0.078431, 0.637255, 0.000000, 0.382353, 0.039216, 0.039216, 0.186275, 0.000000, 0.181818, 0.127451, 10.460784, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.166667, 0.117647, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.009804, 0
5.393733, 15.082192, 2.006849, 3.801370, 8.253425, 0.013699, 0.013699, 0.027397, 6.636986, 0.691781, 0.342466, 0.363014, 356456.350662, 2537.972705, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 242.000000, 485.000000, 0.000000, 0.513699, 5.123288, 0.849315, 0.315068, 0.589041, 0.410959, 0.294521, 0.000000, 0.034247, 0.013699, 0.897260, 0.527397, 0.301370, 0.458904, 0.294521, 0.246575, 0.000000, 0.034247, 0.013699, 3.130137, 0.242424, 443.184932, 1.000000, 0.000000, 0.000000, 5.136986, 53.349315, 1.315068, 0.000000, 5.041096, 0.000000, 0.643836, 3.753425, 5.458904, 20.082192, 29.835616, 8.219178, 5.095890, 8.136986, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 10.958904, 27.143836, 0.000000, 14.397260, 94.253425, 0.000000, 103.760274, 0.958904, 3.958904, 39.808219, 1.876712, 0.000000, 0.000000, 0.068493, 0.589041, 0.006849, 0.000000, 0.034247, 0.000000, 0.006849, 0.006849, 0.047945, 0.178082, 0.226027, 0.102740, 0.027397, 0.034247, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.075342, 0.239726, 0.000000, 0.047945, 0.561644, 0.000000, 0.486301, 0.006849, 0.034247, 0.342466, 0.006849, 0.272727, 0.130137, 5.294521, 0.000000, 9.328767, 0.000000, 9.328767, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.061644, 0.000000, 0.068493, 0.000000, 0.068493, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0
