@relation train2

@attribute follower_number numeric
@attribute following_number numeric
@attribute is_verified numeric
@attribute favourite_number numeric
@attribute instagram_per_tweet numeric
@attribute tweets_with_instagram numeric
@attribute urls_per_tweet numeric
@attribute tweets_with_urls numeric
@attribute noun_per_tweet numeric
@attribute verb_per_tweet numeric
@attribute personal_pronoun_per_tweet numeric
@attribute pronoun_per_tweet numeric
@attribute adjective_per_tweet numeric
@attribute adverb_per_tweet numeric
@attribute conjunction_preposition_particle_per_tweet numeric
@attribute adverb_adjective_per_tweet numeric
@attribute adverb_adverb_per_tweet numeric
@attribute tweets_with_noun numeric
@attribute tweets_with_verb numeric
@attribute tweets_with_personal_pronoun numeric
@attribute tweets_with_pronoun numeric
@attribute tweets_with_adjective numeric
@attribute tweets_with_adverb numeric
@attribute tweets_with_conjunction_preposition_particle numeric
@attribute tweets_with_adverb_adjective numeric
@attribute tweets_with_adverb_adverb numeric
@attribute particle_ne_per_tweet numeric
@attribute signs_per_tweet numeric
@attribute average_signs_number numeric
@attribute sign_latitude numeric
@attribute at_per_tweet numeric
@attribute number_sign_per_tweet numeric
@attribute opening_bracket_per_tweet numeric
@attribute backslash_per_tweet numeric
@attribute closing_bracket_per_tweet numeric
@attribute exponent_per_tweet numeric
@attribute underline_per_tweet numeric
@attribute stress_per_tweet numeric
@attribute exclamation_point_per_tweet numeric
@attribute quote_per_tweet numeric
@attribute hash_per_tweet numeric
@attribute dollar_sign_per_tweet numeric
@attribute percent_per_tweet numeric
@attribute ampersand_per_tweet numeric
@attribute apostrophe_per_tweet numeric
@attribute opening_parenthesis_per_tweet numeric
@attribute closing_parenthesis_per_tweet numeric
@attribute multiply_per_tweet numeric
@attribute plus_per_tweet numeric
@attribute comma_per_tweet numeric
@attribute minus_per_tweet numeric
@attribute point_per_tweet numeric
@attribute divide_per_tweet numeric
@attribute colon_per_tweet numeric
@attribute opening_brace_per_tweet numeric
@attribute semicolon_per_tweet numeric
@attribute vertical_slash_per_tweet numeric
@attribute less_than_per_tweet numeric
@attribute equals_per_tweet numeric
@attribute closing_brace_per_tweet numeric
@attribute tilde_per_tweet numeric
@attribute great_than_per_tweet numeric
@attribute question_mark_per_tweet numeric
@attribute tweets_with_at numeric
@attribute tweets_with_number_sign numeric
@attribute tweets_with_opening_bracket numeric
@attribute tweets_with_backslash numeric
@attribute tweets_with_closing_bracket numeric
@attribute tweets_with_exponent numeric
@attribute tweets_with_underline numeric
@attribute tweets_with_stress numeric
@attribute tweets_with_exclamation_point numeric
@attribute tweets_with_quote numeric
@attribute tweets_with_hash numeric
@attribute tweets_with_dollar_sign numeric
@attribute tweets_with_percent numeric
@attribute tweets_with_ampersand numeric
@attribute tweets_with_apostrophe numeric
@attribute tweets_with_opening_parenthesis numeric
@attribute tweets_with_closing_parenthesis numeric
@attribute tweets_with_multiply numeric
@attribute tweets_with_plus numeric
@attribute tweets_with_comma numeric
@attribute tweets_with_minus numeric
@attribute tweets_with_point numeric
@attribute tweets_with_divide numeric
@attribute tweets_with_colon numeric
@attribute tweets_with_opening_brace numeric
@attribute tweets_with_semicolon numeric
@attribute tweets_with_vertical_slash numeric
@attribute tweets_with_less_than numeric
@attribute tweets_with_equals numeric
@attribute tweets_with_closing_brace numeric
@attribute tweets_with_tilde numeric
@attribute tweets_with_great_than numeric
@attribute tweets_with_question_mark numeric
@attribute tweets_with_signs numeric
@attribute tweets_with_smiles numeric
@attribute tweets_with_happy_smiles numeric
@attribute tweets_with_sad_smiles numeric
@attribute tweets_with_winking_smiles numeric
@attribute tweets_with_glasses_smiles numeric
@attribute tweets_with_laugh_with_tears_smiles numeric
@attribute tweets_with_cry_smiles numeric
@attribute tweets_with_kiss_smiles numeric
@attribute tweets_with_surprised_smiles numeric
@attribute tweets_with_with_tongue_smiles numeric
@attribute tweets_with_laugh_smiles numeric
@attribute tweets_with_other_smiles numeric
@attribute different_smiles numeric
@attribute happy_smiles_per_tweet numeric
@attribute sad_smiles_per_tweet numeric
@attribute winking_smiles_per_tweet numeric
@attribute glasses_smiles_per_tweet numeric
@attribute laugh_with_tears_smiles_per_tweet numeric
@attribute cry_smiles_per_tweet numeric
@attribute kiss_smiles_per_tweet numeric
@attribute surprised_smiles_per_tweet numeric
@attribute with_tongue_smiles_per_tweet numeric
@attribute laugh_smiles_per_tweet numeric
@attribute other_smiles_per_tweet numeric
@attribute average_word_length numeric
@attribute average_tweet_length numeric
@attribute errors_per_tweet numeric
@attribute unknown_word_per_tweet numeric
@attribute richness_of_vocabulary numeric
@attribute hash_tag_length numeric
@attribute different_hash_tags_per_tweet numeric
@attribute hash_tag_per_tweet numeric
@attribute reference_per_tweet numeric
@attribute reference_length numeric
@attribute different_references_per_tweet numeric
@attribute personal_words_per_tweet numeric
@attribute class {0, 1}

@data
404160.000000, 29428.000000, 1.000000, 5159.000000, 0.000000, 0.000000, 1.540698, 0.959302, 4.377907, 1.540698, 0.488372, 0.279070, 0.383721, 0.622093, 0.000000, 0.034884, 0.034884, 0.982558, 0.744186, 0.331395, 0.232558, 0.348837, 0.441860, 0.000000, 0.034884, 0.034884, 0.000000, 3.372093, 2.854651, 0.212121, 0.354651, 0.000000, 0.005814, 0.000000, 0.005814, 0.000000, 0.116279, 0.000000, 0.133721, 0.162791, 0.232558, 0.005814, 0.000000, 0.046512, 0.273256, 0.023256, 0.023256, 0.000000, 0.005814, 0.255814, 0.180233, 0.860465, 0.005814, 0.546512, 0.000000, 0.000000, 0.000000, 0.000000, 0.005814, 0.000000, 0.000000, 0.017442, 0.110465, 0.290698, 0.000000, 0.005814, 0.000000, 0.005814, 0.000000, 0.098837, 0.000000, 0.133721, 0.081395, 0.191860, 0.005814, 0.000000, 0.034884, 0.250000, 0.023256, 0.023256, 0.000000, 0.005814, 0.226744, 0.133721, 0.680233, 0.005814, 0.529070, 0.000000, 0.000000, 0.000000, 0.000000, 0.005814, 0.000000, 0.000000, 0.017442, 0.104651, 0.982558, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 4.694298, 11.011628, 1.029070, 0.000000, 4.994186, 2.627907, 0.098837, 0.232558, 0.354651, 4.337209, 0.203488, 0.034884, 1
144198.000000, 404.000000, 1.000000, 2652.000000, 0.000000, 0.000000, 0.070707, 0.045455, 3.303030, 2.181818, 1.227273, 0.439394, 0.808081, 0.666667, 0.000000, 0.166667, 0.050505, 0.959596, 0.873737, 0.691919, 0.404040, 0.621212, 0.489899, 0.000000, 0.156566, 0.050505, 0.000000, 3.661616, 2.959596, 0.151515, 1.025253, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.217172, 0.000000, 0.383838, 0.000000, 0.010101, 0.000000, 0.005051, 0.010101, 0.191919, 0.005051, 0.015152, 0.000000, 0.000000, 0.131313, 0.065657, 1.196970, 0.035354, 0.005051, 0.000000, 0.005051, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.358586, 0.929293, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.121212, 0.000000, 0.348485, 0.000000, 0.010101, 0.000000, 0.005051, 0.010101, 0.186869, 0.005051, 0.015152, 0.000000, 0.000000, 0.121212, 0.065657, 0.752525, 0.020202, 0.005051, 0.000000, 0.005051, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.358586, 1.000000, 0.010101, 0.005051, 0.000000, 0.005051, 0.000000, 0.005051, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.272727, 0.005051, 0.000000, 0.005051, 0.000000, 0.005051, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 4.625151, 12.570707, 0.136364, 0.000000, 3.737374, 0.196970, 0.010101, 0.010101, 1.025253, 11.787879, 0.737374, 0.323232, 1
2387284.000000, 40450.000000, 1.000000, 2578.000000, 0.000000, 0.000000, 1.313830, 0.898936, 6.265957, 2.074468, 0.776596, 0.563830, 0.819149, 0.601064, 0.000000, 0.021277, 0.026596, 1.000000, 0.930851, 0.542553, 0.436170, 0.563830, 0.500000, 0.000000, 0.021277, 0.026596, 0.000000, 4.654255, 3.771277, 0.272727, 0.425532, 0.000000, 0.000000, 0.000000, 0.000000, 0.005319, 0.042553, 0.000000, 0.313830, 0.031915, 1.170213, 0.074468, 0.005319, 0.255319, 0.276596, 0.026596, 0.026596, 0.000000, 0.031915, 0.361702, 0.127660, 0.675532, 0.101064, 0.606383, 0.000000, 0.005319, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.090426, 0.313830, 0.000000, 0.000000, 0.000000, 0.000000, 0.005319, 0.042553, 0.000000, 0.281915, 0.015957, 0.781915, 0.069149, 0.005319, 0.228723, 0.244681, 0.021277, 0.021277, 0.000000, 0.031915, 0.308511, 0.063830, 0.569149, 0.095745, 0.590426, 0.000000, 0.005319, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.074468, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 5.009695, 15.361702, 0.989362, 0.000000, 5.441489, 12.632979, 0.430851, 1.170213, 0.414894, 4.728723, 0.335106, 0.000000, 1
84464.000000, 56843.000000, 1.000000, 16.000000, 0.000000, 0.000000, 0.015075, 0.010050, 5.140704, 2.839196, 1.743719, 0.718593, 0.547739, 0.889447, 0.000000, 0.060302, 0.030151, 1.000000, 0.979899, 0.934673, 0.562814, 0.427136, 0.668342, 0.000000, 0.060302, 0.030151, 0.000000, 4.155779, 3.743719, 0.181818, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.095477, 0.000000, 0.015075, 0.000000, 0.045226, 0.005025, 0.000000, 0.020101, 0.336683, 0.005025, 0.005025, 0.000000, 0.000000, 0.241206, 0.608040, 1.080402, 0.000000, 0.005025, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.135678, 0.000000, 0.557789, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.075377, 0.000000, 0.015075, 0.000000, 0.045226, 0.005025, 0.000000, 0.015075, 0.286432, 0.005025, 0.005025, 0.000000, 0.000000, 0.226131, 0.608040, 0.783920, 0.000000, 0.005025, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.135678, 0.000000, 0.532663, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 4.387475, 17.572864, 0.105528, 0.000000, 2.959799, 0.000000, 0.000000, 0.000000, 1.000000, 10.849246, 0.748744, 0.773869, 1
1211464.000000, 3043.000000, 1.000000, 1396.000000, 0.000000, 0.000000, 1.697842, 0.964029, 4.359712, 1.136691, 0.553957, 0.302158, 0.438849, 0.330935, 0.000000, 0.021583, 0.007194, 0.978417, 0.697842, 0.482014, 0.266187, 0.388489, 0.266187, 0.000000, 0.021583, 0.007194, 0.000000, 3.604317, 3.115108, 0.242424, 0.251799, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.258993, 0.000000, 0.237410, 0.014388, 0.589928, 0.000000, 0.000000, 0.093525, 0.359712, 0.007194, 0.014388, 0.000000, 0.014388, 0.330935, 0.604317, 0.323741, 0.000000, 0.302158, 0.000000, 0.007194, 0.014388, 0.000000, 0.000000, 0.000000, 0.000000, 0.014388, 0.165468, 0.143885, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.201439, 0.000000, 0.215827, 0.007194, 0.568345, 0.000000, 0.000000, 0.093525, 0.330935, 0.007194, 0.014388, 0.000000, 0.007194, 0.280576, 0.561151, 0.294964, 0.000000, 0.208633, 0.000000, 0.007194, 0.014388, 0.000000, 0.000000, 0.000000, 0.000000, 0.007194, 0.151079, 1.000000, 0.007194, 0.000000, 0.000000, 0.007194, 0.000000, 0.007194, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.181818, 0.000000, 0.000000, 0.007194, 0.000000, 0.007194, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 4.860434, 10.618705, 1.021583, 0.000000, 4.438849, 7.251799, 0.115108, 0.589928, 0.251799, 3.014388, 0.208633, 0.000000, 1
9673.000000, 6687.000000, 1.000000, 4.000000, 0.000000, 0.000000, 0.224599, 0.224599, 10.320856, 2.721925, 1.411765, 0.850267, 0.951872, 0.422460, 0.000000, 0.005348, 0.000000, 1.000000, 0.935829, 0.770053, 0.689840, 0.721925, 0.342246, 0.000000, 0.005348, 0.000000, 0.000000, 7.550802, 5.705882, 0.272727, 1.144385, 0.000000, 0.000000, 0.000000, 0.000000, 0.946524, 0.187166, 0.000000, 0.219251, 0.000000, 0.133690, 0.016043, 0.000000, 0.620321, 0.112299, 0.026738, 0.026738, 0.000000, 0.000000, 1.358289, 0.101604, 1.620321, 0.390374, 0.192513, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.454545, 0.839572, 0.000000, 0.000000, 0.000000, 0.000000, 0.946524, 0.128342, 0.000000, 0.219251, 0.000000, 0.117647, 0.010695, 0.000000, 0.540107, 0.106952, 0.026738, 0.026738, 0.000000, 0.000000, 0.737968, 0.074866, 0.951872, 0.347594, 0.176471, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.454545, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.958343, 22.208556, 0.352941, 0.000000, 2.828877, 1.192513, 0.032086, 0.133690, 1.139037, 12.465241, 0.705882, 0.037433, 1
8164.000000, 7444.000000, 1.000000, 343.000000, 0.000000, 0.000000, 0.375000, 0.375000, 5.397059, 1.713235, 1.448529, 0.411765, 0.786765, 0.742647, 0.000000, 0.080882, 0.066176, 0.985294, 0.764706, 0.742647, 0.308824, 0.558824, 0.536765, 0.000000, 0.080882, 0.066176, 0.000000, 5.661765, 3.720588, 0.242424, 1.022059, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.132353, 0.000000, 1.654412, 0.058824, 0.544118, 0.007353, 0.000000, 0.073529, 0.330882, 0.058824, 0.227941, 0.000000, 0.000000, 0.191176, 0.198529, 0.558824, 0.022059, 0.301471, 0.000000, 0.029412, 0.000000, 0.036765, 0.007353, 0.000000, 0.000000, 0.000000, 0.205882, 0.705882, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.110294, 0.000000, 0.816176, 0.029412, 0.301471, 0.007353, 0.000000, 0.066176, 0.272059, 0.058824, 0.205882, 0.000000, 0.000000, 0.154412, 0.154412, 0.279412, 0.022059, 0.286765, 0.000000, 0.029412, 0.000000, 0.036765, 0.007353, 0.000000, 0.000000, 0.000000, 0.176471, 1.000000, 0.220588, 0.154412, 0.029412, 0.029412, 0.000000, 0.029412, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.007353, 0.454545, 0.169118, 0.029412, 0.029412, 0.000000, 0.029412, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.007353, 4.794513, 14.205882, 0.948529, 0.000000, 6.301471, 6.213235, 0.411765, 0.544118, 0.977941, 11.308824, 0.713235, 0.095588, 1
54309.000000, 12962.000000, 0.000000, 3406.000000, 0.000000, 0.000000, 0.717557, 0.664122, 7.038168, 1.717557, 0.801527, 0.366412, 0.938931, 0.816794, 0.000000, 0.114504, 0.045802, 1.000000, 0.809160, 0.480916, 0.320611, 0.633588, 0.488550, 0.000000, 0.099237, 0.045802, 0.000000, 5.511450, 4.122137, 0.272727, 1.274809, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.099237, 0.000000, 1.083969, 0.015267, 0.427481, 0.015267, 0.007634, 0.068702, 0.282443, 0.053435, 0.106870, 0.000000, 0.007634, 0.335878, 0.213740, 0.625954, 0.038168, 0.740458, 0.000000, 0.000000, 0.007634, 0.000000, 0.007634, 0.000000, 0.000000, 0.000000, 0.099237, 0.854962, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.091603, 0.000000, 0.671756, 0.007634, 0.335878, 0.015267, 0.007634, 0.068702, 0.244275, 0.045802, 0.099237, 0.000000, 0.007634, 0.274809, 0.167939, 0.419847, 0.030534, 0.664122, 0.000000, 0.000000, 0.007634, 0.000000, 0.007634, 0.000000, 0.000000, 0.000000, 0.099237, 1.000000, 0.068702, 0.061069, 0.007634, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.181818, 0.061069, 0.007634, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 5.198571, 16.030534, 0.625954, 0.000000, 7.503817, 4.595420, 0.206107, 0.427481, 1.267176, 15.679389, 0.839695, 0.076336, 1
2194797.000000, 6749.000000, 1.000000, 3355.000000, 0.000000, 0.000000, 0.659864, 0.578231, 4.061224, 1.108844, 0.156463, 0.115646, 0.367347, 0.285714, 0.000000, 0.013605, 0.013605, 0.986395, 0.646259, 0.129252, 0.095238, 0.312925, 0.258503, 0.000000, 0.013605, 0.013605, 0.000000, 3.217687, 2.700680, 0.212121, 0.469388, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.353741, 0.000000, 0.523810, 0.000000, 0.000000, 0.034014, 0.061224, 0.061224, 0.061224, 0.000000, 0.000000, 0.312925, 0.258503, 0.945578, 0.013605, 0.074830, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.047619, 0.374150, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.333333, 0.000000, 0.448980, 0.000000, 0.000000, 0.034014, 0.061224, 0.061224, 0.061224, 0.000000, 0.000000, 0.278912, 0.251701, 0.666667, 0.006803, 0.074830, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.047619, 0.986395, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 4.809935, 9.448980, 0.571429, 0.000000, 3.891156, 4.714286, 0.183673, 0.523810, 0.469388, 4.755102, 0.156463, 0.000000, 1
102.000000, 116.000000, 0.000000, 264.000000, 0.000000, 0.000000, 0.034247, 0.034247, 4.054795, 1.273973, 0.657534, 0.315068, 0.506849, 0.726027, 0.000000, 0.075342, 0.102740, 0.979452, 0.691781, 0.438356, 0.253425, 0.438356, 0.452055, 0.000000, 0.068493, 0.075342, 0.000000, 4.520548, 2.952055, 0.212121, 0.910959, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.363014, 0.000000, 1.123288, 0.013699, 0.191781, 0.006849, 0.000000, 0.000000, 0.397260, 0.006849, 0.191781, 0.000000, 0.000000, 0.082192, 0.061644, 0.623288, 0.047945, 0.239726, 0.000000, 0.006849, 0.000000, 0.006849, 0.000000, 0.000000, 0.000000, 0.000000, 0.246575, 0.698630, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.212329, 0.000000, 0.472603, 0.006849, 0.178082, 0.006849, 0.000000, 0.000000, 0.335616, 0.006849, 0.164384, 0.000000, 0.000000, 0.068493, 0.034247, 0.301370, 0.047945, 0.232877, 0.000000, 0.006849, 0.000000, 0.006849, 0.000000, 0.000000, 0.000000, 0.000000, 0.171233, 1.000000, 0.171233, 0.157534, 0.006849, 0.006849, 0.000000, 0.006849, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.363636, 0.164384, 0.006849, 0.006849, 0.000000, 0.006849, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 4.752171, 10.253425, 0.328767, 0.000000, 4.671233, 2.869863, 0.136986, 0.191781, 0.910959, 10.273973, 0.287671, 0.458904, 0
