@relation train

@attribute particle_ne_per_tweet numeric
@attribute noun_per_tweet numeric
@attribute verb_per_tweet numeric
@attribute personal_pronoun_per_tweet numeric
@attribute pronoun_per_tweet numeric
@attribute adjective_per_tweet numeric
@attribute adverb_per_tweet numeric
@attribute conjunction_preposition_particle_per_tweet numeric
@attribute adverb_adjective_per_tweet numeric
@attribute adverb_adverb_per_tweet numeric
@attribute tweets_with_noun numeric
@attribute tweets_with_verb numeric
@attribute tweets_with_personal_pronoun numeric
@attribute tweets_with_pronoun numeric
@attribute tweets_with_adjective numeric
@attribute tweets_with_adverb numeric
@attribute tweets_with_conjunction_preposition_particle numeric
@attribute tweets_with_adverb_adjective numeric
@attribute tweets_with_adverb_adverb numeric
@attribute at_per_tweet numeric
@attribute number_sign_per_tweet numeric
@attribute opening_bracket_per_tweet numeric
@attribute backslash_per_tweet numeric
@attribute closing_bracket_per_tweet numeric
@attribute exponent_per_tweet numeric
@attribute underline_per_tweet numeric
@attribute stress_per_tweet numeric
@attribute exclamation_point_per_tweet numeric
@attribute quote_per_tweet numeric
@attribute hash_per_tweet numeric
@attribute dollar_sign_per_tweet numeric
@attribute percent_per_tweet numeric
@attribute ampersand_per_tweet numeric
@attribute apostrophe_per_tweet numeric
@attribute opening_parenthesis_per_tweet numeric
@attribute closing_parenthesis_per_tweet numeric
@attribute multiply_per_tweet numeric
@attribute plus_per_tweet numeric
@attribute comma_per_tweet numeric
@attribute minus_per_tweet numeric
@attribute point_per_tweet numeric
@attribute divide_per_tweet numeric
@attribute colon_per_tweet numeric
@attribute opening_brace_per_tweet numeric
@attribute semicolon_per_tweet numeric
@attribute vertical_slash_per_tweet numeric
@attribute less_than_per_tweet numeric
@attribute equals_per_tweet numeric
@attribute closing_brace_per_tweet numeric
@attribute tilde_per_tweet numeric
@attribute great_than_per_tweet numeric
@attribute question_mark_per_tweet numeric
@attribute average_signs_number numeric
@attribute tweets_with_signs numeric
@attribute tweets_with_at numeric
@attribute tweets_with_number_sign numeric
@attribute tweets_with_opening_bracket numeric
@attribute tweets_with_backslash numeric
@attribute tweets_with_closing_bracket numeric
@attribute tweets_with_exponent numeric
@attribute tweets_with_underline numeric
@attribute tweets_with_stress numeric
@attribute tweets_with_exclamation_point numeric
@attribute tweets_with_quote numeric
@attribute tweets_with_hash numeric
@attribute tweets_with_dollar_sign numeric
@attribute tweets_with_percent numeric
@attribute tweets_with_ampersand numeric
@attribute tweets_with_apostrophe numeric
@attribute tweets_with_opening_parenthesis numeric
@attribute tweets_with_closing_parenthesis numeric
@attribute tweets_with_multiply numeric
@attribute tweets_with_plus numeric
@attribute tweets_with_comma numeric
@attribute tweets_with_minus numeric
@attribute tweets_with_point numeric
@attribute tweets_with_divide numeric
@attribute tweets_with_colon numeric
@attribute tweets_with_opening_brace numeric
@attribute tweets_with_semicolon numeric
@attribute tweets_with_vertical_slash numeric
@attribute tweets_with_less_than numeric
@attribute tweets_with_equals numeric
@attribute tweets_with_closing_brace numeric
@attribute tweets_with_tilde numeric
@attribute tweets_with_great_than numeric
@attribute tweets_with_question_mark numeric
@attribute signs_per_tweet numeric
@attribute sign_latitude numeric
@attribute tweets_with_smiles numeric
@attribute different_smiles numeric
@attribute tweets_with_happy_smiles numeric
@attribute tweets_with_sad_smiles numeric
@attribute tweets_with_winking_smiles numeric
@attribute tweets_with_glasses_smiles numeric
@attribute tweets_with_laugh_with_tears_smiles numeric
@attribute tweets_with_cry_smiles numeric
@attribute tweets_with_kiss_smiles numeric
@attribute tweets_with_surprised_smiles numeric
@attribute tweets_with_with_tongue_smiles numeric
@attribute tweets_with_laugh_smiles numeric
@attribute tweets_with_other_smiles numeric
@attribute happy_smiles_per_tweet numeric
@attribute sad_smiles_per_tweet numeric
@attribute winking_smiles_per_tweet numeric
@attribute glasses_smiles_per_tweet numeric
@attribute laugh_with_tears_smiles_per_tweet numeric
@attribute cry_smiles_per_tweet numeric
@attribute kiss_smiles_per_tweet numeric
@attribute surprised_smiles_per_tweet numeric
@attribute with_tongue_smiles_per_tweet numeric
@attribute laugh_smiles_per_tweet numeric
@attribute other_smiles_per_tweet numeric
@attribute average_word_length numeric
@attribute average_tweet_length numeric
@attribute errors_per_tweet numeric
@attribute richness_of_vocabulary numeric
@attribute unknown_word_per_tweet numeric
@attribute hash_tag_per_tweet numeric
@attribute hash_tag_length numeric
@attribute different_hash_tags_per_tweet numeric
@attribute reference_length numeric
@attribute different_references_per_tweet numeric
@attribute reference_per_tweet numeric
@attribute personal_words_per_tweet numeric
@attribute frequency_per_word numeric
@attribute frequency_per_tweet numeric
@attribute class {0, 1, 2}

@data
0.193103, 3.027586, 2.075862, 0.020690, 0.124138, 0.944828, 0.096552, 0.000000, 0.006897, 0.000000, 0.937931, 0.868966, 0.020690, 0.110345, 0.613793, 0.096552, 0.000000, 0.006897, 0.000000, 0.151724, 0.006897, 0.000000, 0.000000, 0.000000, 0.006897, 0.013793, 0.000000, 0.082759, 0.027586, 0.020690, 0.006897, 0.006897, 0.000000, 0.020690, 0.020690, 0.027586, 0.000000, 0.000000, 0.165517, 0.103448, 0.510345, 0.006897, 0.110345, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.048276, 0.634483, 0.117241, 0.006897, 0.000000, 0.000000, 0.000000, 0.006897, 0.013793, 0.000000, 0.082759, 0.013793, 0.020690, 0.006897, 0.006897, 0.000000, 0.013793, 0.020690, 0.027586, 0.000000, 0.000000, 0.144828, 0.082759, 0.379310, 0.006897, 0.096552, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.289655, 0.181818, 0.006897, 0.090909, 0.006897, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.006897, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 6.251914, 9.910345, 2.137931, 5.868966, 2.841379, 0.013793, 0.131034, 0.013793, 1.482759, 0.110345, 0.151724, 0.124138, 2107.073674, 1795.792352, 1
0.500000, 2.519231, 1.288462, 0.076923, 0.250000, 0.403846, 0.192308, 0.000000, 0.000000, 0.000000, 0.923077, 0.711538, 0.076923, 0.173077, 0.326923, 0.153846, 0.000000, 0.000000, 0.000000, 0.384615, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.115385, 0.000000, 0.211538, 0.000000, 0.134615, 0.000000, 0.000000, 0.019231, 0.000000, 0.096154, 0.115385, 0.000000, 0.000000, 0.384615, 0.173077, 0.365385, 0.000000, 0.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.153846, 2.000000, 0.903846, 0.346154, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.115385, 0.000000, 0.153846, 0.000000, 0.115385, 0.000000, 0.000000, 0.019231, 0.000000, 0.096154, 0.115385, 0.000000, 0.000000, 0.250000, 0.153846, 0.269231, 0.000000, 0.230769, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.134615, 2.403846, 0.181818, 0.019231, 0.090909, 0.019231, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.019231, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 5.767606, 8.192308, 1.692308, 5.903846, 2.500000, 0.134615, 1.076923, 0.096154, 3.615385, 0.288462, 0.384615, 0.038462, 2641.773005, 2405.325017, 1
0.257310, 2.947368, 1.672515, 0.046784, 0.134503, 1.333333, 0.093567, 0.000000, 0.000000, 0.000000, 0.941520, 0.801170, 0.046784, 0.087719, 0.713450, 0.093567, 0.000000, 0.000000, 0.000000, 0.000000, 0.005848, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.017544, 0.000000, 0.029240, 0.011696, 0.000000, 0.000000, 0.000000, 0.029240, 0.029240, 0.000000, 0.023392, 0.315789, 0.327485, 1.912281, 0.040936, 0.830409, 0.000000, 0.000000, 0.011696, 0.000000, 0.017544, 0.000000, 0.000000, 0.000000, 0.040936, 2.538012, 1.000000, 0.000000, 0.005848, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.017544, 0.000000, 0.023392, 0.011696, 0.000000, 0.000000, 0.000000, 0.029240, 0.029240, 0.000000, 0.017544, 0.257310, 0.269006, 0.994152, 0.023392, 0.812865, 0.000000, 0.000000, 0.005848, 0.000000, 0.005848, 0.000000, 0.000000, 0.000000, 0.035088, 3.643275, 0.181818, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 6.392917, 10.403509, 3.111111, 7.339181, 3.216374, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.064327, 2547.774177, 2396.952805, 1
0.335196, 2.966480, 2.251397, 0.005587, 0.039106, 0.994413, 0.016760, 0.000000, 0.000000, 0.000000, 0.983240, 0.966480, 0.005587, 0.039106, 0.659218, 0.016760, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.005587, 0.000000, 0.150838, 0.000000, 0.005587, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.145251, 0.089385, 0.055866, 0.000000, 0.217877, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.642458, 0.480447, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.005587, 0.000000, 0.134078, 0.000000, 0.005587, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.139665, 0.089385, 0.055866, 0.000000, 0.212291, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.670391, 0.090909, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 6.269364, 9.664804, 1.407821, 6.324022, 2.430168, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.279330, 2666.337983, 2539.381437, 1
0.238095, 3.560847, 2.449735, 0.164021, 0.238095, 0.873016, 0.158730, 0.000000, 0.000000, 0.010582, 0.978836, 0.931217, 0.148148, 0.216931, 0.587302, 0.121693, 0.000000, 0.000000, 0.010582, 0.169312, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.084656, 0.000000, 0.301587, 0.000000, 0.423280, 0.021164, 0.005291, 0.000000, 0.000000, 0.079365, 0.148148, 0.015873, 0.021164, 0.507937, 0.232804, 0.899471, 0.026455, 0.354497, 0.000000, 0.005291, 0.000000, 0.000000, 0.005291, 0.000000, 0.000000, 0.000000, 0.126984, 2.650794, 0.978836, 0.116402, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.068783, 0.000000, 0.259259, 0.000000, 0.375661, 0.021164, 0.005291, 0.000000, 0.000000, 0.079365, 0.132275, 0.010582, 0.015873, 0.402116, 0.195767, 0.560847, 0.015873, 0.275132, 0.000000, 0.005291, 0.000000, 0.000000, 0.005291, 0.000000, 0.000000, 0.000000, 0.105820, 3.428571, 0.212121, 0.052910, 0.272727, 0.047619, 0.000000, 0.005291, 0.000000, 0.005291, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.047619, 0.000000, 0.005291, 0.000000, 0.005291, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 5.924370, 12.592593, 2.513228, 7.957672, 4.015873, 0.343915, 4.227513, 0.089947, 1.534392, 0.111111, 0.169312, 0.222222, 1993.786303, 1887.235758, 1
0.852273, 3.517045, 2.494318, 0.681818, 0.602273, 0.801136, 0.579545, 0.000000, 0.028409, 0.022727, 0.897727, 0.897727, 0.494318, 0.426136, 0.505682, 0.397727, 0.000000, 0.028409, 0.022727, 0.823864, 0.000000, 0.000000, 0.000000, 0.000000, 0.045455, 0.420455, 0.000000, 0.073864, 0.000000, 0.011364, 0.000000, 0.000000, 0.000000, 0.005682, 0.244318, 0.198864, 0.000000, 0.000000, 1.585227, 0.107955, 0.301136, 0.000000, 0.250000, 0.000000, 0.000000, 0.011364, 0.011364, 0.000000, 0.000000, 0.000000, 0.011364, 0.130682, 3.034091, 0.982955, 0.670455, 0.000000, 0.000000, 0.000000, 0.000000, 0.022727, 0.289773, 0.000000, 0.068182, 0.000000, 0.005682, 0.000000, 0.000000, 0.000000, 0.005682, 0.232955, 0.193182, 0.000000, 0.000000, 0.772727, 0.107955, 0.272727, 0.000000, 0.232955, 0.000000, 0.000000, 0.011364, 0.011364, 0.000000, 0.000000, 0.000000, 0.011364, 0.125000, 4.232955, 0.181818, 0.164773, 0.272727, 0.073864, 0.085227, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.005682, 0.073864, 0.085227, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.005682, 5.110176, 14.181818, 1.482955, 7.545455, 3.732955, 0.000000, 0.000000, 0.000000, 8.193182, 0.215909, 0.823864, 0.488636, 3133.121919, 2811.159347, 0
0.350785, 3.691099, 2.952880, 0.109948, 0.225131, 1.141361, 0.193717, 0.000000, 0.010471, 0.010471, 0.979058, 0.968586, 0.109948, 0.209424, 0.691099, 0.172775, 0.000000, 0.010471, 0.010471, 0.167539, 0.005236, 0.000000, 0.000000, 0.005236, 0.000000, 0.062827, 0.000000, 0.230366, 0.125654, 0.005236, 0.000000, 0.010471, 0.005236, 0.000000, 0.010471, 0.031414, 0.000000, 0.005236, 0.795812, 0.298429, 0.879581, 0.020942, 0.178010, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.005236, 0.130890, 2.366492, 0.989529, 0.157068, 0.005236, 0.000000, 0.000000, 0.005236, 0.000000, 0.047120, 0.000000, 0.225131, 0.057592, 0.005236, 0.000000, 0.010471, 0.005236, 0.000000, 0.010471, 0.031414, 0.000000, 0.005236, 0.528796, 0.246073, 0.717277, 0.015707, 0.167539, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.005236, 0.120419, 2.973822, 0.181818, 0.026178, 0.181818, 0.020942, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.010471, 0.000000, 0.020942, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.010471, 0.000000, 6.313725, 13.350785, 2.178010, 7.125654, 3.670157, 0.005236, 0.036649, 0.005236, 1.649215, 0.136126, 0.167539, 0.125654, 2816.826298, 2651.464885, 1
0.234286, 3.857143, 2.708571, 0.097143, 0.182857, 1.022857, 0.160000, 0.000000, 0.022857, 0.005714, 0.977143, 0.942857, 0.091429, 0.148571, 0.622857, 0.154286, 0.000000, 0.022857, 0.005714, 0.097143, 0.005714, 0.000000, 0.000000, 0.000000, 0.000000, 0.022857, 0.000000, 0.068571, 0.000000, 0.148571, 0.000000, 0.005714, 0.000000, 0.000000, 0.000000, 0.005714, 0.000000, 0.000000, 0.640000, 0.205714, 0.954286, 0.022857, 0.137143, 0.000000, 0.005714, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.011429, 0.034286, 1.805714, 0.908571, 0.080000, 0.005714, 0.000000, 0.000000, 0.000000, 0.000000, 0.022857, 0.000000, 0.068571, 0.000000, 0.148571, 0.000000, 0.005714, 0.000000, 0.000000, 0.000000, 0.005714, 0.000000, 0.000000, 0.422857, 0.177143, 0.680000, 0.022857, 0.125714, 0.000000, 0.005714, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.005714, 0.028571, 2.365714, 0.212121, 0.011429, 0.181818, 0.005714, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.005714, 0.000000, 0.005714, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.005714, 0.000000, 5.832904, 13.302857, 1.960000, 7.274286, 3.880000, 0.131429, 1.011429, 0.040000, 0.942857, 0.080000, 0.097143, 0.177143, 2895.537066, 2762.784830, 1
0.696078, 2.911765, 2.147059, 0.617647, 0.607843, 0.578431, 0.480392, 0.000000, 0.009804, 0.019608, 0.911765, 0.862745, 0.421569, 0.450980, 0.411765, 0.401961, 0.000000, 0.009804, 0.019608, 1.176471, 0.000000, 0.009804, 0.000000, 0.009804, 0.000000, 0.460784, 0.000000, 0.058824, 0.176471, 0.019608, 0.000000, 0.009804, 0.000000, 0.019608, 0.009804, 0.147059, 0.000000, 0.009804, 1.264706, 0.294118, 0.450980, 0.039216, 0.166667, 0.000000, 0.000000, 0.000000, 0.000000, 0.068627, 0.000000, 0.000000, 0.039216, 0.215686, 3.392157, 0.980392, 0.882353, 0.000000, 0.009804, 0.000000, 0.009804, 0.000000, 0.372549, 0.000000, 0.058824, 0.078431, 0.019608, 0.000000, 0.009804, 0.000000, 0.019608, 0.009804, 0.147059, 0.000000, 0.009804, 0.637255, 0.254902, 0.382353, 0.039216, 0.166667, 0.000000, 0.000000, 0.000000, 0.000000, 0.058824, 0.000000, 0.000000, 0.039216, 0.186275, 4.647059, 0.242424, 0.127451, 0.181818, 0.117647, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.009804, 0.117647, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.009804, 5.398312, 12.774510, 2.147059, 7.352941, 3.666667, 0.009804, 0.049020, 0.009804, 12.372549, 0.264706, 1.176471, 0.323529, 2957.072341, 2671.739715, 0
0.513699, 3.520548, 2.500000, 0.376712, 0.698630, 0.931507, 0.404110, 0.000000, 0.027397, 0.020548, 0.924658, 0.828767, 0.315068, 0.506849, 0.554795, 0.308219, 0.000000, 0.027397, 0.020548, 0.691781, 0.013699, 0.000000, 0.000000, 0.000000, 0.000000, 0.102740, 0.000000, 0.068493, 0.123288, 0.013699, 0.000000, 0.041096, 0.006849, 0.000000, 0.047945, 0.191781, 0.027397, 0.041096, 0.842466, 0.267123, 0.938356, 0.034247, 0.260274, 0.000000, 0.095890, 0.000000, 0.000000, 0.061644, 0.000000, 0.000000, 0.006849, 0.404110, 3.130137, 1.000000, 0.589041, 0.006849, 0.000000, 0.000000, 0.000000, 0.000000, 0.102740, 0.000000, 0.068493, 0.047945, 0.006849, 0.000000, 0.034247, 0.006849, 0.000000, 0.047945, 0.178082, 0.006849, 0.027397, 0.561644, 0.226027, 0.486301, 0.034247, 0.239726, 0.000000, 0.075342, 0.000000, 0.000000, 0.034247, 0.000000, 0.000000, 0.006849, 0.342466, 4.280822, 0.242424, 0.130137, 0.272727, 0.061644, 0.000000, 0.068493, 0.000000, 0.068493, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.061644, 0.000000, 0.082192, 0.000000, 0.082192, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 5.288094, 13.979452, 2.006849, 8.253425, 3.801370, 0.013699, 0.027397, 0.013699, 6.636986, 0.342466, 0.691781, 0.349315, 2537.972705, 2441.481854, 0
